"filename", "language", "C++", "comment", "blank", "total"
"/Users/han/Projects/Embedded/Atom/Software/Atom_UI-lv9/src/UI/Res/Pages/Pages.cpp", "C++", 14, 14, 3, 31
"/Users/han/Projects/Embedded/Atom/Software/Atom_UI-lv9/src/UI/Res/Pages/Pages.h", "C++", 17, 3, 10, 30
"/Users/han/Projects/Embedded/Atom/Software/Atom_UI-lv9/src/UI/Res/Pages/TestPage/TestPage.cpp", "C++", 15, 0, 6, 21
"/Users/han/Projects/Embedded/Atom/Software/Atom_UI-lv9/src/UI/Res/Pages/TestPage/TestPage.h", "C++", 8, 0, 4, 12
"/Users/han/Projects/Embedded/Atom/Software/Atom_UI-lv9/src/UI/Res/ResourcePool/ResourcePool.h", "C++", 16, 5, 8, 29
"/Users/han/Projects/Embedded/Atom/Software/Atom_UI-lv9/src/UI/Themes/Themes.cpp", "C++", 34, 12, 4, 50
"/Users/han/Projects/Embedded/Atom/Software/Atom_UI-lv9/src/UI/Themes/Themes.h", "C++", 16, 0, 6, 22
"/Users/han/Projects/Embedded/Atom/Software/Atom_UI-lv9/src/UI/Utils/PageManager/PageManager.cpp", "C++", 101, 28, 34, 163
"/Users/han/Projects/Embedded/Atom/Software/Atom_UI-lv9/src/UI/Utils/PageManager/PageManager.h", "C++", 40, 2, 14, 56
"/Users/han/Projects/Embedded/Atom/Software/Atom_UI-lv9/src/UI/Utils/UIGroup/UIGroup.cpp", "C++", 2, 0, 1, 3
"/Users/han/Projects/Embedded/Atom/Software/Atom_UI-lv9/src/UI/Utils/UIGroup/UIGroup.h", "C++", 5, 0, 4, 9
"/Users/han/Projects/Embedded/Atom/Software/Atom_UI-lv9/src/main.cpp", "C++", 18, 4, 9, 31
"Total", "-", 1818, 397, 588, 2803
